freq,stage1_db,stage1_deg,stage2_db,stage2_deg,stage3_db,stage3_deg
6.02559586074355e+02,-2.37149332908647e+01,-1.50475873361000e+02,-4.68646233415470e+01,5.13365004641443e+01,-6.94679435521111e+01,-1.20450426300698e+02
6.16595001861479e+02,-2.40894491531769e+01,-1.51123175193896e+02,-4.76373266449447e+01,5.01702467413631e+01,-7.06655480631155e+01,-1.21839407381949e+02
6.30957344480190e+02,-2.44650451837944e+01,-1.51757734167510e+02,-4.84112708968053e+01,4.90297316978398e+01,-7.18632667731077e+01,-1.23196527344919e+02
6.45654229034652e+02,-2.48416787341216e+01,-1.52379739204047e+02,-4.91863993709639e+01,4.79143941645483e+01,-7.30610986088320e+01,-1.24522665156568e+02
6.60693448007592e+02,-2.52193086146407e+01,-1.52989382096023e+02,-4.99626580240505e+01,4.68236823150529e+01,-7.42590424511785e+01,-1.25818676278233e+02
6.76082975391978e+02,-2.55978950654008e+01,-1.53586857152381e+02,-5.07399953613996e+01,4.57570536006893e+01,-7.54570971500940e+01,-1.27085394169176e+02
6.91830970918933e+02,-2.59773997253000e+01,-1.54172360869565e+02,-5.15183623104331e+01,4.47139746645694e+01,-7.66552615384543e+01,-1.28323631714432e+02
7.07945784384134e+02,-2.63577856003695e+01,-1.54746091627114e+02,-5.22977121010473e+01,4.36939212366938e+01,-7.78535344448983e+01,-1.29534182586487e+02
7.24435960074986e+02,-2.67390170312517e+01,-1.55308249407341e+02,-5.30780001525670e+01,4.26963780121223e+01,-7.90519147056284e+01,-1.30717822549507e+02
7.41310241300914e+02,-2.71210596600512e+01,-1.55859035538612e+02,-5.38591839668565e+01,4.17208385138627e+01,-8.02504011751871e+01,-1.31875310714182e+02
7.58577575029180e+02,-2.75038803967209e+01,-1.56398652461755e+02,-5.46412230272050e+01,4.07668049418807e+01,-8.14489927362206e+01,-1.33007390750647e+02
7.76247116628688e+02,-2.78874473851316e+01,-1.56927303519112e+02,-5.54240787026282e+01,3.98337880094055e+01,-8.26476883082380e+01,-1.34114792066473e+02
7.94328234724277e+02,-2.82717299689615e+01,-1.57445192765744e+02,-5.62077141572532e+01,3.89213067675047e+01,-8.38464868553742e+01,-1.35198230956254e+02
